COD,SUBCOD,CODE1,CODE2,D_NAME,FULLNAME,ABBR,DATA_COZD,DATA_ZAKR
550,260,0,0,Кафедра медицинской биотехнологии на базе Института высокомолярных соединений РАН,Кафедра медицинской биотехнологии на базе Института высокомолекулярных соединений РАН,КМБТ РАН,2001-09-26T00:00:00,2012-12-07T00:00:00
551,523,33,0,ПНИЛ ФТИМ,Проблемная научно-исследовательская лаборатория факультета технологии и исследования материалов,ПНИЛФТИМ,1968-11-20T00:00:00,2013-01-31T00:00:00
552,6,31,1,Лаборатория инженерной мелиорации,Лаборатория инженерной мелиорации,Лаб. ИМ,2000-05-03T00:00:00,2015-12-10T00:00:00
553,525,0,0,ПНИЛ ФЭМ,Проблемная научно-исследовательская лаборатория факультета экономики и менеджмента,ПНИЛ ФЭМ,1968-11-20T00:00:00,2013-02-01T00:00:00
554,6,31,1,Филиал кафедры в агрофизическом институте,Филиал кафедры в агрофизическом институте,ФК  АФИ,2000-05-03T00:00:00,2015-12-10T00:00:00
555,526,35,56,ПНИЛ ФТК,Проблемная научно-исследовательская лаборатория факультета технической кибернетики,ПНИЛ ФТК,1968-11-20T00:00:00,2013-02-01T00:00:00
556,6,31,1,Лаборатория водных путей,Лаборатория водных путей,Лаб. ВП,1968-11-20T00:00:00,2015-12-10T00:00:00
557,1861,34,54,Научно-исследовательская лаборатория управляемого термоядерного синтеза,Научно-исследовательская лаборатория управляемого термоядерного синтеза,НИЛ УТС,1968-11-20T00:00:00,
558,1133,0,0,Лаборатория инженерной геодезии,Лаборатория инженерной геодезии,Лаб. ИГ,1993-12-27T00:00:00,2011-09-01T00:00:00
559,528,0,0,ПНИЛ РФФ,Проблемная научно-исследовательская лаборатория радиофизического факультета,ПНИЛ РФФ,1968-11-20T00:00:00,2013-02-01T00:00:00
56,1865,39,54,Факультет военного обучения,Факультет военного обучения,ФВО,1968-11-20T00:00:00,
561,419,0,0,Центр новых материалов,Центр новых материалов,ЦНМ,1968-11-20T00:00:00,2007-06-20T00:00:00
562,590,33,54,НХД технической диагностики,"Научная хозрасчетная лаборатория ""Техническая диагностика""",НХЛ ТД,2002-10-18T00:00:00,2013-01-31T00:00:00
563,6,31,1,Филиал кафедры в ЛенМорНИИПроект,Филиал кафедры в ЛенМорНИИПроект,ФК ЛМНИИ,1991-06-14T00:00:00,2013-01-31T00:00:00
564,631,0,0,Проблемная лаборатория нац. безопасности,Проблемная лаборатория национальной безопасности,ПНИЛНБ,1968-11-20T00:00:00,2007-03-01T00:00:00
565,6,31,1,Лаборатория русловых процессов,Лаборатория русловых процессов,Лаб. РП,1986-07-21T00:00:00,2016-04-06T00:00:00
568,420,31,53,НИЛ морских и воднотранспортных сооружений,Научно-исследовательская лаборатория морских и воднотранспортных сооружений,НИЛ МиВС,1993-03-17T00:00:00,2009-12-01T00:00:00
569,420,31,53,НИЛ возобновляющихся источников энергии,Научно-исследовательская лаборатория возобновляющихся источников энергии,НИЛ ВИЭ,1993-03-17T00:00:00,2013-02-01T00:00:00
57,51,0,0,Кафедра технологий конструкционных материалов,"Кафедра ""Технологии конструкционных материалов""",КТКМ,1968-11-20T00:00:00,2009-03-05T00:00:00
570,420,31,53,"НИЛ инж.мелиорации, гидрологии и охраны ОС","Научно-исследовательская лаборатория инженерной мелиораци, гидрологии и охраны окружающей среды",НИЛ ИМГО,1993-03-17T00:00:00,2009-12-01T00:00:00
571,420,31,53,"НИЛ подземных сооруж., оснований и фундаментов","Научно-исследовательская лаборатория подземных сооружений, оснований и фундаментов",НИЛ ПСОФ,1993-03-17T00:00:00,2009-12-01T00:00:00
572,420,31,53,"НИЛ ""Технология, организация и экономика строительства""","Научно-исследовательская лаборатория ""Технология, организация и экономика строительства""",НИЛТОиЭС,1993-03-17T00:00:00,2009-12-01T00:00:00
573,420,31,53,НИЛ механики грунтов и устойчивости хвостохранилищ,Научно-исследовательская лаборатория механики грунтов и устойчивости хвостохранилищ,НИЛ МГУХ,1993-03-17T00:00:00,
574,420,31,53,НИЛ сопротивления материалов,Научно-исследовательская лаборатория сопротивления материалов,НИЛ СМ,1993-03-17T00:00:00,2013-02-01T00:00:00
575,421,32,54,НИЛ ТОЭ,Научно-исследовательская лаборатория теоретических основ электротехники,НИЛ ТОЭ,1993-03-17T00:00:00,2009-12-01T00:00:00
576,421,32,54,НИЛ электрических станций,Научно-исследовательская лаборатория электрических станций,НИЛ эл.с,1993-03-17T00:00:00,2009-12-01T00:00:00
577,421,32,54,НИЛ электрических аппаратов,Научно-исследовательская лаборатория электрических аппаратов,НИЛЭА,1993-03-17T00:00:00,
578,421,32,54,НИЛ электрических машин,Научно-исследовательский лаборатория электрических машин,НИЛ ЭМ,1993-03-17T00:00:00,2009-12-01T00:00:00
579,421,32,54,НИЛ электротехники и энергетики,Научно-исследовательская лаборатория электротехники и энергетики,НИЛ элек,1993-03-17T00:00:00,2009-12-01T00:00:00
58,1860,33,0,"Кафедра ""Конструкторско-технологические инновации""","Кафедра ""Конструкторско-технологические инновации""",ККТИ,1995-12-28T00:00:00,2013-10-01T00:00:00
580,421,32,54,НИЛ инженерной электрофизики и ТВН,Научно-исследовательская лаборатория инженерной электрофизики и техники высоких напряжений,НИЛ ТВН,1993-03-17T00:00:00,
