id1,id2,name1,name2,uid1,uid2,weight
app_75274,app_75259,Габдуллин П.Г.,Давыдов С.Н.,144,144,1
app_75275,app_72344,Карасев П.А.,Шахмин А.Л.,144,2078,1
app_94746,app_56407,Баданин А.Н.,Заяц О.И.,13,76,1
pg_6884,app_56071,Кузнецов А.Н.,Пышкин Е.В.,122,122,1
app_75275,app_75266,Карасев П.А.,Никулина Л.М.,144,144,1
app_94749,app_76447,Корсун А..,Петриченко М.Р.,13,14,1
app_50426,app_32344,Самсонов Д.Б.,Дворецкая Н.В.,144,144,1
app_97395,app_32369,Сезонов В.Е.,Тумарева Т.А.,1476,144,1
app_15956,app_100215,Хомич П.Н.,Иванов С.Ю.,971,338,1
app_75276,app_75272,Вахрушев С.Б.,Фотиади А.Э.,144,144,1
app_94848,app_75286,Солопченко Г.Н.,Семенов К.К.,126,126,1
app_94854,app_40892,Баранов С.Н.,Котляров В.П.,125,125,1
app_75277,app_75272,Андреева Н.В.,Фотиади А.Э.,144,144,1
app_50398,app_40927,Рыбаков В.А.,Лалин В.В.,13,10,1
app_28374,app_27128,Чудный В.С.,Беляев А.Н.,24,24,1
app_75286,app_40893,Семенов К.К.,Солопченко Г.Н.,126,126,1
app_75286,app_49192,Семенов К.К.,Солопченко Г.Н.,126,126,1
app_75306,app_32377,Круглов С.К.,Саенко И.И.,125,152,1
app_75325,app_73338,Щукин А.В.,Черкасова Т.Х.,914,914,1
app_28361,app_28336,Чусов А.Н.,Масликов В.И.,1134,1134,1
app_75332,app_61967,Ицыксон В.М.,Беляев М.А.,122,322,1
app_75347,app_43736,Трифонов П.В.,Семенов П.К.,128,128,1
app_50351,app_50243,Калинин М.О.,Степанова Т.В.,129,129,1
app_75394,app_62787,Зегжда П.Д.,Васильев Ю.С.,129,338,1
app_75394,app_75393,Зегжда П.Д.,Зегжда Д.П.,129,129,1
app_75396,app_75394,Корт С.С.,Зегжда П.Д.,129,129,1
app_50351,app_31749,Калинин М.О.,Зегжда П.Д.,129,129,1
app_94855,app_84408,Круглов С.К.,Иванов С.И.,125,141,1
app_75401,app_75393,Калинин М.О.,Зегжда Д.П.,129,129,1
app_75401,app_75394,Калинин М.О.,Зегжда П.Д.,129,129,1
app_75412,app_75411,Салкуцан В.И.,Мясников В.Н.,1165,1165,1
app_75433,app_74122,Чернышов М.В.,Сильников М.В.,1155,1865,1
app_75461,app_31193,Ульянова С.Б.,Синепол В.С.,176,212,1
app_75482,app_75477,Тимерманис И.Е.,Евсеева Л.И.,179,179,1
app_75580,app_75477,Шипунова О.Д.,Евсеева Л.И.,182,179,1
app_75580,app_75482,Шипунова О.Д.,Тимерманис И.Е.,182,179,1
app_75594,app_74685,Коровкин Н.В.,Беляев Н.А.,30,24,1
